"KOD","BIRTOKTER","MEGYEKOD","MEGYENEV","BIRTOKNEV","Y1382","Y13820","NEV_1382","Y1439","Y14390","NEVE_1439","Y1498","Y14980","NEVE_1498","v82_39","v39_98","v_82_98","v1","v2","v3"
"AV1","2095.3","AV","Árva m.","Árva","királyi","királyi honor","árvai urad.","nemesi","","Balicki","bárói","Corvin János","árvai urad.","királyi > nemesi","nemesi > bárói","királyi > bárói","15","32","17"
"TR1","558.7","TR","Trencsén m.","Krasznó","királyi","királyi honor","besztercei ispán","királyi","királyné","trencséni ispánság","nemesi","","Horvát Márk (kamicsáci)","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"SS1","552.6","SS","Sáros m.","Makovica","nemesi","","Cudar","bárói","Cudar Simon","","bárói","Perényi Imre","makovicai urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"SZP5","40.5","SZP","Szepes m.","Béla","nemesi","Rikalf-rokonság","Berzevici-Tarkövi","nemesi","","Tarkövi és Berzevici","nemesi","","Tárcai és Berzevici","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SZP4","52.2","SZP","Szepes m.","Dunajec","nemesi","Rikalf-rokonság","Dunajeci","nemesi","","Berzevici Fekete János","bárói","Szapolyai István","dunajeci urad.","nemesi > nemesi","nemesi > bárói","nemesi > bárói","20","32","24"
"SS2","269.1","SS","Sáros m.","Ladomér","nemesi","","Cudar","bárói","Cudar Simon","","bárói","Perényi Imre","makovicai urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"SZP1","365.5","SZP","Szepes m.","Lubló","királyi","királyi honor","szepesi ispánság","idegen","Lengyelország","","idegen","Lengyelország","","királyi > idegen","idegen > idegen","királyi > idegen","13","22","19"
"SZP2","75.4","SZP","Szepes m.","Lesznic","nemesi","","Svábi","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SZP6","72.7","SZP","Szepes m.","Tribs","","","","","","","bárói","Szapolyai István","dunajeci urad.","  >","  > bárói","  > bárói","1","2","2"
"ZN1","2168","ZN","Zemplén m.","Homonna","nemesi","","Druget","bárói","Homonnai István és Bertalan","","bárói","Homonnai János","","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"TR2","254.8","TR","Trencsén m.","Biccse","egyházi","püspök","nyitrai","egyházi","püspök","nyitrai püspök","nemesi","","Tettauer Vilmosné","egyházi > egyházi","egyházi > nemesi","egyházi > nemesi","7","21","14"
"SZP3","89.1","SZP","Szepes m.","Lechnic","egyházi","karthauziak","lechnici perjel","egyházi","karthauziak","lechnici perjel","egyházi","karthauziak","lechnici perjel","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"SZP7","21.8","SZP","Szepes m.","Alsólapsa","egyházi","Szent Sír lovagrend","lándoki prépost","egyházi","Szent Sír lovagrend","lándoki prépost","egyházi","Szent Sír lovagrend","lándoki prépost","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"TR9","411.2","TR","Trencsén m.","Tizsina","királyi","királyi honor","besztercei ispán","királyi","királyné","trencséni ispánság","nemesi","","Horvát Márk (kamicsáci)","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"SZP8","29.9","SZP","Szepes m.","Katzwinkel","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ZN3","438","ZN","Zemplén m.","Sztropkó","nemesi","Ákos","Mikcsfi","bárói","Perényi János (terebesi)","","bárói","Perényi Imre","sztropkói urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"SS15","42","SS","Sáros m.","Sárpatak","nemesi","","Cudar","bárói","Cudar Simon","","királyi","királyi város","Bártfa","nemesi > bárói","bárói > királyi","nemesi > királyi","17","12","27"
